,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
1093,Apartamento,550,2000,Moema,54,1,1,1
1094,Apartamento,410,1800,Vila Mariana,44,1,1,0
1095,Apartamento,506,2100,Barra Funda,60,2,2,1
1096,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1097,Sala/Conjunto,0,600,República,20,0,1,0
1098,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1099,Apartamento,700,2300,Jaguaré,70,3,2,2
1100,Apartamento,724,1800,Vila Paulista,76,3,2,1
1101,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1102,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1103,Apartamento,781,1800,Sumaré,50,1,1,1
1104,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1105,Apartamento,0,2600,Bela Vista,48,1,1,0
1106,Apartamento,0,4500,Perdizes,140,3,3,2
1107,Sala/Conjunto,0,1950,República,65,0,2,0
1108,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1109,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1110,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1111,Apartamento,250,1051,Liberdade,30,1,1,0
1112,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1113,Apartamento,650,1700,Consolação,50,2,1,1
1114,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1115,Casa,2350,950,Jardim Japão,40,1,1,0
1116,Apartamento,590,1100,Vila Andrade,35,1,1,1
1117,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1118,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1119,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1120,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1121,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1122,Apartamento,850,5900,Sumaré,74,2,3,2
1123,Apartamento,450,3200,Indianópolis,36,1,1,0
1124,Apartamento,0,1350,Vila Madalena,24,1,1,0
1125,Apartamento,536,2800,Brooklin,47,1,1,1
1126,Sala/Conjunto,0,1700,Santana,60,0,1,0
1127,Apartamento,480,1500,Brás,49,2,1,1
1128,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1129,Apartamento,550,2000,Moema,54,1,1,1
1130,Apartamento,410,1800,Vila Mariana,44,1,1,0
1131,Apartamento,506,2100,Barra Funda,60,2,2,1
1132,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1133,Sala/Conjunto,0,600,República,20,0,1,0
1134,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1135,Apartamento,700,2300,Jaguaré,70,3,2,2
1136,Apartamento,724,1800,Vila Paulista,76,3,2,1
1137,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1138,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1139,Apartamento,781,1800,Sumaré,50,1,1,1
1140,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1141,Apartamento,0,2600,Bela Vista,48,1,1,0
1142,Apartamento,0,4500,Perdizes,140,3,3,2
1143,Sala/Conjunto,0,1950,República,65,0,2,0
1144,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1145,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1146,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1147,Apartamento,250,1051,Liberdade,30,1,1,0
1148,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1149,Apartamento,650,1700,Consolação,50,2,1,1
1150,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1151,Casa,2350,950,Jardim Japão,40,1,1,0
1152,Apartamento,590,1100,Vila Andrade,35,1,1,1
1153,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1154,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1155,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1156,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1157,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1158,Apartamento,850,5900,Sumaré,74,2,3,2
1159,Apartamento,450,3200,Indianópolis,36,1,1,0
1160,Apartamento,0,1350,Vila Madalena,24,1,1,0
1161,Apartamento,536,2800,Brooklin,47,1,1,1
1162,Sala/Conjunto,0,1700,Santana,60,0,1,0
1163,Apartamento,480,1500,Brás,49,2,1,1
1164,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1165,Apartamento,550,2000,Moema,54,1,1,1
1166,Apartamento,410,1800,Vila Mariana,44,1,1,0
1167,Apartamento,506,2100,Barra Funda,60,2,2,1
1168,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1169,Sala/Conjunto,0,600,República,20,0,1,0
1170,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1171,Apartamento,700,2300,Jaguaré,70,3,2,2
1172,Apartamento,724,1800,Vila Paulista,76,3,2,1
1173,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1174,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1175,Apartamento,781,1800,Sumaré,50,1,1,1
1176,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1177,Apartamento,0,2600,Bela Vista,48,1,1,0
1178,Apartamento,0,4500,Perdizes,140,3,3,2
1179,Sala/Conjunto,0,1950,República,65,0,2,0
1180,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1181,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1182,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1183,Apartamento,250,1051,Liberdade,30,1,1,0
1184,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1185,Apartamento,650,1700,Consolação,50,2,1,1
1186,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1187,Casa,2350,950,Jardim Japão,40,1,1,0
1188,Apartamento,590,1100,Vila Andrade,35,1,1,1
1189,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1190,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1191,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1192,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1193,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1194,Apartamento,850,5900,Sumaré,74,2,3,2
1195,Apartamento,450,3200,Indianópolis,36,1,1,0
1196,Apartamento,0,1350,Vila Madalena,24,1,1,0
1197,Apartamento,536,2800,Brooklin,47,1,1,1
1198,Sala/Conjunto,0,1700,Santana,60,0,1,0
1199,Apartamento,480,1500,Brás,49,2,1,1
1200,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1201,Apartamento,550,2000,Moema,54,1,1,1
1202,Apartamento,410,1800,Vila Mariana,44,1,1,0
1203,Apartamento,506,2100,Barra Funda,60,2,2,1
1204,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1205,Sala/Conjunto,0,600,República,20,0,1,0
1206,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1207,Apartamento,700,2300,Jaguaré,70,3,2,2
1208,Apartamento,724,1800,Vila Paulista,76,3,2,1
1209,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1210,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1211,Apartamento,781,1800,Sumaré,50,1,1,1
1212,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1213,Apartamento,0,2600,Bela Vista,48,1,1,0
1214,Apartamento,0,4500,Perdizes,140,3,3,2
1215,Sala/Conjunto,0,1950,República,65,0,2,0
1216,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1217,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1218,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1219,Apartamento,250,1051,Liberdade,30,1,1,0
1220,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1221,Apartamento,650,1700,Consolação,50,2,1,1
1222,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1223,Casa,2350,950,Jardim Japão,40,1,1,0
1224,Apartamento,590,1100,Vila Andrade,35,1,1,1
1225,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1226,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1227,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1228,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1229,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1230,Apartamento,850,5900,Sumaré,74,2,3,2
1231,Apartamento,450,3200,Indianópolis,36,1,1,0
1232,Apartamento,0,1350,Vila Madalena,24,1,1,0
1233,Apartamento,536,2800,Brooklin,47,1,1,1
1234,Sala/Conjunto,0,1700,Santana,60,0,1,0
1235,Apartamento,480,1500,Brás,49,2,1,1
1236,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1237,Apartamento,550,2000,Moema,54,1,1,1
1238,Apartamento,410,1800,Vila Mariana,44,1,1,0
1239,Apartamento,506,2100,Barra Funda,60,2,2,1
1240,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1241,Sala/Conjunto,0,600,República,20,0,1,0
1242,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1243,Apartamento,700,2300,Jaguaré,70,3,2,2
1244,Apartamento,724,1800,Vila Paulista,76,3,2,1
1245,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1246,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1247,Apartamento,781,1800,Sumaré,50,1,1,1
1248,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1249,Apartamento,0,2600,Bela Vista,48,1,1,0
1250,Apartamento,0,4500,Perdizes,140,3,3,2
1251,Sala/Conjunto,0,1950,República,65,0,2,0
1252,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1253,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1254,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1255,Apartamento,250,1051,Liberdade,30,1,1,0
1256,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1257,Apartamento,650,1700,Consolação,50,2,1,1
1258,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1259,Casa,2350,950,Jardim Japão,40,1,1,0
1260,Apartamento,590,1100,Vila Andrade,35,1,1,1
1261,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1262,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1263,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1264,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1265,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1266,Apartamento,850,5900,Sumaré,74,2,3,2
1267,Apartamento,450,3200,Indianópolis,36,1,1,0
1268,Apartamento,0,1350,Vila Madalena,24,1,1,0
1269,Apartamento,536,2800,Brooklin,47,1,1,1
1270,Sala/Conjunto,0,1700,Santana,60,0,1,0
1271,Apartamento,480,1500,Brás,49,2,1,1
1272,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1273,Apartamento,550,2000,Moema,54,1,1,1
1274,Apartamento,410,1800,Vila Mariana,44,1,1,0
1275,Apartamento,506,2100,Barra Funda,60,2,2,1
1276,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1277,Sala/Conjunto,0,600,República,20,0,1,0
1278,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1279,Apartamento,700,2300,Jaguaré,70,3,2,2
1280,Apartamento,724,1800,Vila Paulista,76,3,2,1
1281,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1282,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1283,Apartamento,781,1800,Sumaré,50,1,1,1
1284,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1285,Apartamento,0,2600,Bela Vista,48,1,1,0
1286,Apartamento,0,4500,Perdizes,140,3,3,2
1287,Sala/Conjunto,0,1950,República,65,0,2,0
1288,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1289,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1290,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1291,Apartamento,250,1051,Liberdade,30,1,1,0
1292,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1293,Apartamento,650,1700,Consolação,50,2,1,1
1294,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1295,Casa,2350,950,Jardim Japão,40,1,1,0
1296,Apartamento,590,1100,Vila Andrade,35,1,1,1
1297,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1298,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1299,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1300,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1301,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1302,Apartamento,850,5900,Sumaré,74,2,3,2
1303,Apartamento,450,3200,Indianópolis,36,1,1,0
1304,Apartamento,0,1350,Vila Madalena,24,1,1,0
1305,Apartamento,536,2800,Brooklin,47,1,1,1
1306,Sala/Conjunto,0,1700,Santana,60,0,1,0
1307,Apartamento,480,1500,Brás,49,2,1,1
1308,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1309,Apartamento,550,2000,Moema,54,1,1,1
1310,Apartamento,410,1800,Vila Mariana,44,1,1,0
1311,Apartamento,506,2100,Barra Funda,60,2,2,1
1312,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1313,Sala/Conjunto,0,600,República,20,0,1,0
1314,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1315,Apartamento,700,2300,Jaguaré,70,3,2,2
1316,Apartamento,724,1800,Vila Paulista,76,3,2,1
1317,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1318,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1319,Apartamento,781,1800,Sumaré,50,1,1,1
1320,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1321,Apartamento,0,2600,Bela Vista,48,1,1,0
1322,Apartamento,0,4500,Perdizes,140,3,3,2
1323,Sala/Conjunto,0,1950,República,65,0,2,0
1324,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1325,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1326,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1327,Apartamento,250,1051,Liberdade,30,1,1,0
1328,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1329,Apartamento,650,1700,Consolação,50,2,1,1
1330,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1331,Casa,2350,950,Jardim Japão,40,1,1,0
1332,Apartamento,590,1100,Vila Andrade,35,1,1,1
1333,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1334,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1335,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1336,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1337,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1338,Apartamento,850,5900,Sumaré,74,2,3,2
1339,Apartamento,450,3200,Indianópolis,36,1,1,0
1340,Apartamento,0,1350,Vila Madalena,24,1,1,0
1341,Apartamento,536,2800,Brooklin,47,1,1,1
1342,Sala/Conjunto,0,1700,Santana,60,0,1,0
1343,Apartamento,480,1500,Brás,49,2,1,1
1344,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1345,Apartamento,550,2000,Moema,54,1,1,1
1346,Apartamento,410,1800,Vila Mariana,44,1,1,0
1347,Apartamento,506,2100,Barra Funda,60,2,2,1
1348,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1349,Sala/Conjunto,0,600,República,20,0,1,0
1350,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1351,Apartamento,700,2300,Jaguaré,70,3,2,2
1352,Apartamento,724,1800,Vila Paulista,76,3,2,1
1353,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1354,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1355,Apartamento,781,1800,Sumaré,50,1,1,1
1356,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1357,Apartamento,0,2600,Bela Vista,48,1,1,0
1358,Apartamento,0,4500,Perdizes,140,3,3,2
1359,Sala/Conjunto,0,1950,República,65,0,2,0
1360,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1361,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1362,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1363,Apartamento,250,1051,Liberdade,30,1,1,0
1364,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1365,Apartamento,650,1700,Consolação,50,2,1,1
1366,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1367,Casa,2350,950,Jardim Japão,40,1,1,0
1368,Apartamento,590,1100,Vila Andrade,35,1,1,1
1369,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1370,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1371,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1372,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1373,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1374,Apartamento,850,5900,Sumaré,74,2,3,2
1375,Apartamento,450,3200,Indianópolis,36,1,1,0
1376,Apartamento,0,1350,Vila Madalena,24,1,1,0
1377,Apartamento,536,2800,Brooklin,47,1,1,1
1378,Sala/Conjunto,0,1700,Santana,60,0,1,0
1379,Apartamento,480,1500,Brás,49,2,1,1
1380,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1381,Apartamento,550,2000,Moema,54,1,1,1
1382,Apartamento,410,1800,Vila Mariana,44,1,1,0
1383,Apartamento,506,2100,Barra Funda,60,2,2,1
1384,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1385,Sala/Conjunto,0,600,República,20,0,1,0
1386,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1387,Apartamento,700,2300,Jaguaré,70,3,2,2
1388,Apartamento,724,1800,Vila Paulista,76,3,2,1
1389,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1390,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1391,Apartamento,781,1800,Sumaré,50,1,1,1
1392,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1393,Apartamento,0,2600,Bela Vista,48,1,1,0
1394,Apartamento,0,4500,Perdizes,140,3,3,2
1395,Sala/Conjunto,0,1950,República,65,0,2,0
1396,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1397,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1398,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1399,Apartamento,250,1051,Liberdade,30,1,1,0
1400,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1401,Apartamento,650,1700,Consolação,50,2,1,1
1402,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1403,Casa,2350,950,Jardim Japão,40,1,1,0
1404,Apartamento,590,1100,Vila Andrade,35,1,1,1
1405,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1406,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1407,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1408,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1409,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1410,Apartamento,850,5900,Sumaré,74,2,3,2
1411,Apartamento,450,3200,Indianópolis,36,1,1,0
1412,Apartamento,0,1350,Vila Madalena,24,1,1,0
1413,Apartamento,536,2800,Brooklin,47,1,1,1
1414,Sala/Conjunto,0,1700,Santana,60,0,1,0
1415,Apartamento,480,1500,Brás,49,2,1,1
1416,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1417,Apartamento,550,2000,Moema,54,1,1,1
1418,Apartamento,410,1800,Vila Mariana,44,1,1,0
1419,Apartamento,506,2100,Barra Funda,60,2,2,1
1420,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1421,Sala/Conjunto,0,600,República,20,0,1,0
1422,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1423,Apartamento,700,2300,Jaguaré,70,3,2,2
1424,Apartamento,724,1800,Vila Paulista,76,3,2,1
1425,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1426,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1427,Apartamento,781,1800,Sumaré,50,1,1,1
1428,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1429,Apartamento,0,2600,Bela Vista,48,1,1,0
1430,Apartamento,0,4500,Perdizes,140,3,3,2
1431,Sala/Conjunto,0,1950,República,65,0,2,0
1432,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1433,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1434,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1435,Apartamento,250,1051,Liberdade,30,1,1,0
1436,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1437,Apartamento,650,1700,Consolação,50,2,1,1
1438,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1439,Casa,2350,950,Jardim Japão,40,1,1,0
1440,Apartamento,590,1100,Vila Andrade,35,1,1,1
1441,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1442,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1443,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1444,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1445,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1446,Apartamento,850,5900,Sumaré,74,2,3,2
1447,Apartamento,450,3200,Indianópolis,36,1,1,0
1448,Apartamento,0,1350,Vila Madalena,24,1,1,0
1449,Apartamento,536,2800,Brooklin,47,1,1,1
1450,Sala/Conjunto,0,1700,Santana,60,0,1,0
1451,Apartamento,480,1500,Brás,49,2,1,1
1452,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1453,Apartamento,550,2000,Moema,54,1,1,1
1454,Apartamento,410,1800,Vila Mariana,44,1,1,0
1455,Apartamento,506,2100,Barra Funda,60,2,2,1
1456,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1457,Sala/Conjunto,0,600,República,20,0,1,0
1458,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1459,Apartamento,700,2300,Jaguaré,70,3,2,2
1460,Apartamento,724,1800,Vila Paulista,76,3,2,1
1461,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1462,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1463,Apartamento,781,1800,Sumaré,50,1,1,1
1464,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1465,Apartamento,0,2600,Bela Vista,48,1,1,0
1466,Apartamento,0,4500,Perdizes,140,3,3,2
1467,Sala/Conjunto,0,1950,República,65,0,2,0
1468,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1469,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1470,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1471,Apartamento,250,1051,Liberdade,30,1,1,0
1472,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1473,Apartamento,650,1700,Consolação,50,2,1,1
1474,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1475,Casa,2350,950,Jardim Japão,40,1,1,0
1476,Apartamento,590,1100,Vila Andrade,35,1,1,1
1477,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1478,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1479,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1480,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1481,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1482,Apartamento,850,5900,Sumaré,74,2,3,2
1483,Apartamento,450,3200,Indianópolis,36,1,1,0
1484,Apartamento,0,1350,Vila Madalena,24,1,1,0
1485,Apartamento,536,2800,Brooklin,47,1,1,1
1486,Sala/Conjunto,0,1700,Santana,60,0,1,0
1487,Apartamento,480,1500,Brás,49,2,1,1
1488,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1489,Apartamento,550,2000,Moema,54,1,1,1
1490,Apartamento,410,1800,Vila Mariana,44,1,1,0
1491,Apartamento,506,2100,Barra Funda,60,2,2,1
1492,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1493,Sala/Conjunto,0,600,República,20,0,1,0
1494,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1495,Apartamento,700,2300,Jaguaré,70,3,2,2
1496,Apartamento,724,1800,Vila Paulista,76,3,2,1
1497,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1498,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1499,Apartamento,781,1800,Sumaré,50,1,1,1
1500,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1501,Apartamento,0,2600,Bela Vista,48,1,1,0
1502,Apartamento,0,4500,Perdizes,140,3,3,2
1503,Sala/Conjunto,0,1950,República,65,0,2,0
1504,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1505,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1506,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1507,Apartamento,250,1051,Liberdade,30,1,1,0
1508,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1509,Apartamento,650,1700,Consolação,50,2,1,1
1510,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1511,Casa,2350,950,Jardim Japão,40,1,1,0
1512,Apartamento,590,1100,Vila Andrade,35,1,1,1
1513,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1514,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1515,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1516,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1517,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1518,Apartamento,850,5900,Sumaré,74,2,3,2
1519,Apartamento,450,3200,Indianópolis,36,1,1,0
1520,Apartamento,0,1350,Vila Madalena,24,1,1,0
1521,Apartamento,536,2800,Brooklin,47,1,1,1
1522,Sala/Conjunto,0,1700,Santana,60,0,1,0
1523,Apartamento,480,1500,Brás,49,2,1,1
1524,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
1525,Apartamento,550,2000,Moema,54,1,1,1
1526,Apartamento,410,1800,Vila Mariana,44,1,1,0
1527,Apartamento,506,2100,Barra Funda,60,2,2,1
1528,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
1529,Sala/Conjunto,0,600,República,20,0,1,0
1530,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
1531,Apartamento,700,2300,Jaguaré,70,3,2,2
1532,Apartamento,724,1800,Vila Paulista,76,3,2,1
1533,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
1534,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
1535,Apartamento,781,1800,Sumaré,50,1,1,1
1536,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
1537,Apartamento,0,2600,Bela Vista,48,1,1,0
1538,Apartamento,0,4500,Perdizes,140,3,3,2
1539,Sala/Conjunto,0,1950,República,65,0,2,0
1540,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
1541,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
1542,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
1543,Apartamento,250,1051,Liberdade,30,1,1,0
1544,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
1545,Apartamento,650,1700,Consolação,50,2,1,1
1546,Apartamento,925,3999,Itaim Bibi,95,2,1,0
1547,Casa,2350,950,Jardim Japão,40,1,1,0
1548,Apartamento,590,1100,Vila Andrade,35,1,1,1
1549,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
1550,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
1551,Apartamento,651,1500,Vila Água Funda,75,2,2,1
1552,Apartamento,1150,3200,Vila Mariana,110,3,2,1
1553,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
1554,Apartamento,850,5900,Sumaré,74,2,3,2
